Flow,BOD5,TSS,TKN,Alum Dosage,Micro C Dosage,MLSS,Temperature,pH,TN
56.3,296,96,46.9,205,271,3510,17.9,7,13.91
69.1,111,82,25.7,214,198,3268,15.9,6.85,11.05
63.1,200,82,47.8,75,143,3132,11.4,7,25.27
87.1,515,142,68.6,62,118,4148,12.6,7.64,6.88
81.6,141,300,38.8,57,70,3430,15.1,7,9.85
82.7,329,189,37.5,105,464,2460,16.8,6.68,0.19
120.4,228,223,45.6,60,114,2608,19,6.6,0.53
97.2,654,391,59.3,126.24,74,2388,19,7,19.29
114.7,732,1380,107,154.17,115.1,3708,21,7,1.95
124.8,305,188,50.3,124.28,68.3,2668,22,7,11.73
126.4,200,87,50.3,185.98,126.2,2234,21,7.1,2.26
119.8,334,144,55.1,30.66,71,2422,22,7,12.53
105.9,196,84,42.6,199.97,97.4,2490,21,7,18.97
108.6,302,165,52.4,99.42,60.2,2410,21,7,28.79
109.6,269,113,44.9,87.63,76.8,3520,18,7.2,9.39
119.8,370,162,42.1,281.5,120.2,2472,16,7.1,3.33
128.2,364,237,44.2,157.94,103,2270,15,7.3,11
131,258,378,36.7,54.34,103.6,2228,13,7.1,4.01
122.6,174,174,45.3,72.37,57.9,2596,15,7.3,10.61
121.2,170,174,44.6,120.24,136.6,2404,15,7.8,17.73
138.4,225.67,203.67,42.57,43.42,82.8,2254,17,7.7,10.46
147.9,411,218.5,39.7,72.26,137.7,2232,17,7.4,10.64
145.3,209,193,40.45,249.69,476,1816,17,7.6,5.9
125.1,265.5,248.5,41.35,34.86,86.3,2062,18,7,0.5
133.9,137,109,19.45,33.61,98.4,2122,18,7.7,0.92
127.2,192,134.5,43.45,89.15,195.6,2562,20,6.8,3.25
131.6,277,125,38.1,80.37,183.8,2348,19,7.6,0.36
130.1,199,169,38.9,92.86,215.2,2348,19,7.6,1
141.8,215.5,210.5,37.1,73.42,169,2120,20,7.8,0.19
136.9,145.33,162.33,36.43,37.97,101.7,2048,20,7.2,0.37
156.8,230,92,46.1,20.61,56.5,2978,23,7.4,1.73
135.6,164,146,40.4,50.56,96.4,3280,23,7.3,0.22
141.2,194,123,48,53.26,107.2,4816,20,7.3,0.19
156.6,115,95,34.2,20.81,39.7,2684,20,7,13.92
144.8,130,122,49.7,42.92,81.8,1669,16,6.8,17.36
153.2,159,114,48.8,79.43,136.9,2782,15,6.6,5.48
153,239,102,57.5,51.24,95.6,2782,15,6.6,27.26
158.1,168,138,60.6,50.56,67.3,1618,13,6.9,18.49
160.8,167,96,52.6,47.2,90,2249,15,7.4,4.85
180.4,486,76,55,51.07,106.5,2746,7,13,2.71
176.2,197,112,55.5,40.86,66.1,2120,17,7.1,2.8
165.1,211,116,50,72.54,95.5,1974,18,6.9,2.71
178.7,343,332,52.5,85.06,105.1,2064,19,7.1,1.22
173.3,307,124,64.7,79.29,78.4,1870,22,7,1.75
179,199,131,58.9,75.78,83.7,2988,21,7.2,1.42
180.2,541,662,84,77.9,68.3,2808,19,7.4,0.55
193.5,146,194,56.8,78.78,88.8,2368,18,7.3,5.46
193.6,211,128,57.8,85.92,89.6,3220,17,7.4,1.13
187.3,256,177,86.9,82.03,119.3,2046,14,7.5,3.79
207.4,228,116,51.5,88.91,2.3,2350,13,7.3,3.58
